,trial,click_time,click_pos,clicked_stim,clicked_stim_pos,candidate_stims,target_stim,iteration
141,35,481.383739900004,[-0.56041664 -0.22847222],15,0,"[15, 16, 22, 26]",5,0
142,35,482.03877820000343,[ 0.09305555 -0.29583332],22,1,"[15, 16, 22, 26]",5,0
143,35,482.3147973000014,[-0.16805555 -0.2701389 ],16,0,"[15, 16, 22, 26]",5,0
144,36,489.2616310000012,[ 0.58194447 -0.24305555],27,3,"[10, 12, 20, 27]",6,0
145,36,496.16155279999657,[-0.2        -0.29583332],12,1,"[10, 12, 20, 27]",6,0
146,36,496.45459459999984,[-0.45694444 -0.3263889 ],10,0,"[10, 12, 20, 27]",6,0
147,36,496.75948300000164,[ 0.02916667 -0.29791668],20,0,"[10, 12, 20, 27]",6,0
148,37,507.11848990000726,[ 0.13819444 -0.24027778],18,2,"[10, 12, 18, 29]",7,0
149,37,508.978411700009,[-0.45694444 -0.34930557],10,0,"[10, 12, 18, 29]",7,0
150,37,509.9083663000056,[-0.09027778 -0.29027778],12,0,"[10, 12, 18, 29]",7,0
151,37,510.33534370000416,[ 0.43888888 -0.23888889],29,0,"[10, 12, 18, 29]",7,0
152,38,523.0365571000002,[-0.4451389  -0.34652779],17,0,"[17, 19, 23, 26]",8,0
153,38,523.7362046000053,[ 0.52708334 -0.23680556],26,2,"[17, 19, 23, 26]",8,0
154,38,524.1121708999999,[ 0.24097222 -0.27986112],23,1,"[17, 19, 23, 26]",8,0
155,38,524.5831225000002,[-0.14305556 -0.32708332],19,0,"[17, 19, 23, 26]",8,0
156,39,536.8980413000099,[ 0.53402776 -0.275     ],26,3,"[3, 5, 6, 26]",9,0
157,39,537.6959929000004,[-0.46805555 -0.30625   ],3,0,"[3, 5, 6, 26]",9,0
158,39,538.3680691000045,[ 0.1625     -0.21944444],6,1,"[3, 5, 6, 26]",9,0
159,39,538.6210074999981,[-0.08888889 -0.23888889],5,0,"[3, 5, 6, 26]",9,0
160,40,549.2990104000055,[ 0.5555556  -0.24444444],22,3,"[0, 2, 13, 22]",10,0
161,40,551.1528849000024,[ 0.20416667 -0.24861111],13,2,"[0, 2, 13, 22]",10,0
162,40,551.5500217000081,[-0.05625    -0.24583334],2,1,"[0, 2, 13, 22]",10,0
163,40,551.887825400001,[-0.48333332 -0.23472223],0,0,"[0, 2, 13, 22]",10,0
164,41,563.7877634000033,[-0.13611111 -0.26805556],2,1,"[0, 2, 13, 19]",11,0
165,41,565.5628018999996,[-0.43055555 -0.25416666],0,0,"[0, 2, 13, 19]",11,0
166,41,566.1346038000047,[ 0.41805556 -0.3638889 ],19,1,"[0, 2, 13, 19]",11,0
167,41,566.4436168000102,[ 0.2986111 -0.3375   ],13,0,"[0, 2, 13, 19]",11,0
168,42,571.3545753000071,[ 0.5173611  -0.21944444],29,3,"[2, 24, 25, 29]",12,0
169,42,572.2535625000019,[-0.10625    -0.25069445],24,1,"[2, 24, 25, 29]",12,0
170,42,573.304681499998,[ 0.13611111 -0.24652778],25,1,"[2, 24, 25, 29]",12,0
171,42,573.9854502000089,[-0.41527778 -0.2625    ],2,0,"[2, 24, 25, 29]",12,0
