,trial,click_time,click_pos,clicked_stim,clicked_stim_pos,candidate_stims,target_stim,iteration
88,22,408.5377541000489,[ 0.13125 -0.3375 ],15,2,"[6, 27, 15, 22]",1,-1
89,22,410.53767200000584,[ 0.46875    -0.34722222],22,2,"[6, 27, 15, 22]",1,-1
90,22,411.62569270003587,[-0.48263889 -0.28333333],6,0,"[6, 27, 15, 22]",1,-1
91,22,411.9536619000137,[-0.13958333 -0.30625   ],27,0,"[6, 27, 15, 22]",1,-1
92,23,418.6336642000242,[ 0.41180556 -0.34236111],15,3,"[24, 11, 17, 15]",18,-1
93,23,422.59378690004814,[ 0.18125    -0.32152778],17,2,"[24, 11, 17, 15]",18,-1
94,23,427.7537508000387,[-0.27777778 -0.29097222],11,1,"[24, 11, 17, 15]",18,-1
95,23,428.5696163000539,[-0.43888889 -0.29027778],24,0,"[24, 11, 17, 15]",18,-1
96,24,436.91387869999744,[-0.57013889 -0.29166667],20,0,"[20, 13, 1, 9]",3,-1
97,24,441.67384480003966,[ 0.48263889 -0.37708333],9,2,"[20, 13, 1, 9]",3,-1
98,24,443.17761370004155,[ 0.23125    -0.39305556],1,1,"[20, 13, 1, 9]",3,-1
99,24,443.92955470003653,[-0.21944444 -0.32013889],13,0,"[20, 13, 1, 9]",3,-1
100,25,456.16971300001023,[-0.125      -0.31111111],29,1,"[3, 29, 23, 18]",16,-1
101,25,458.00965790002374,[ 0.47222222 -0.32777778],18,2,"[3, 29, 23, 18]",16,-1
102,25,460.4656657000305,[-0.44513889 -0.29236111],3,0,"[3, 29, 23, 18]",16,-1
103,25,462.0817304000375,[ 0.09236111 -0.31944444],23,0,"[3, 29, 23, 18]",16,-1
104,26,476.86563970003044,[ 0.07083333 -0.32916667],28,2,"[18, 24, 28, 11]",9,-1
105,26,477.66555680002784,[-0.45416667 -0.29513889],18,0,"[18, 24, 28, 11]",9,-1
106,26,478.1297401000047,[-0.20625    -0.30069444],24,0,"[18, 24, 28, 11]",9,-1
107,26,478.681664200034,[ 0.39513889 -0.30694444],11,0,"[18, 24, 28, 11]",9,-1
108,27,487.6176972000394,[ 0.44513889 -0.33263889],25,3,"[15, 28, 9, 25]",20,-1
109,27,493.03377610002644,[-0.42847222 -0.29652778],15,0,"[15, 28, 9, 25]",20,-1
110,27,496.225769200013,[-0.14652778 -0.32291667],28,0,"[15, 28, 9, 25]",20,-1
111,27,496.95354499999667,[ 0.15833333 -0.31388889],9,0,"[15, 28, 9, 25]",20,-1
